time,close,high,low,open,volumefrom,volumeto
2018-01-17 03:23:00,953.42,954.02,950.75,953.87,2859.01,2725969.19
2018-01-17 03:24:00,951.09,957.7,951.09,953.42,2502.44,2388361.19
2018-01-17 03:25:00,945.01,951.39,945.0,951.39,1465.6,1390179.49
2018-01-17 03:26:00,950.28,950.88,941.17,944.81,2571.75,2426645.56
2018-01-17 03:27:00,940.84,953.35,940.41,951.84,4611.68,4304257.93
2018-01-17 03:28:00,942.62,943.42,939.29,940.41,2271.9,2107179.99
2018-01-17 03:29:00,939.83,943.65,939.13,942.62,1404.24,1316665.84
2018-01-17 03:30:00,947.57,947.78,939.59,939.62,1421.19,1348726.13
2018-01-17 03:31:00,957.27,958.01,948.7,949.11,1706.78,1624589.07
2018-01-17 03:32:00,957.07,961.11,957.07,957.27,1770.95,1695774.21
2018-01-17 03:33:00,949.48,958.39,948.32,958.39,1526.08,1444407.71
2018-01-17 03:34:00,953.41,954.33,948.84,949.48,1188.61,1134708.39
2018-01-17 03:35:00,951.83,954.14,948.35,953.41,1461.07,1388644.97
2018-01-17 03:36:00,953.04,955.35,951.38,951.75,1054.28,1002989.97
2018-01-17 03:37:00,956.16,956.29,951.98,952.74,1332.86,1258755.68
2018-01-17 03:38:00,950.79,956.88,950.59,956.25,1130.7,1075271.97
2018-01-17 03:39:00,947.49,950.41,945.51,950.41,1812.0,1736534.19
2018-01-17 03:40:00,947.65,951.72,946.85,947.49,1209.58,1142784.51
2018-01-17 03:41:00,940.59,947.49,939.53,947.45,1369.82,1280368.27
2018-01-17 03:42:00,945.03,945.15,936.67,940.36,1667.46,1569894.78
2018-01-17 03:43:00,948.62,949.41,942.86,944.65,974.52,922054.75
2018-01-17 03:44:00,939.2,948.69,938.79,948.62,1105.17,1045051.77
2018-01-17 03:45:00,938.97,939.23,936.55,939.23,1881.96,1756960.17
2018-01-17 03:46:00,939.35,944.07,938.5,939.08,908.94,857612.67
2018-01-17 03:47:00,936.62,939.85,934.03,939.25,1414.92,1329021.99
2018-01-17 03:48:00,945.46,945.5,936.36,936.62,1299.75,1228278.81
2018-01-17 03:49:00,949.44,950.26,945.48,945.48,1957.45,1868859.05
2018-01-17 03:50:00,956.73,957.94,949.06,949.44,1336.01,1280975.7
2018-01-17 03:51:00,959.47,961.18,956.47,956.73,1395.31,1341362.26
2018-01-17 03:52:00,961.3,963.69,957.85,959.47,1642.16,1585268.87
2018-01-17 03:53:00,963.03,963.21,958.54,961.3,1143.03,1102389.04
2018-01-17 03:54:00,973.21,973.25,962.97,963.03,1902.91,1856222.58
2018-01-17 03:55:00,977.11,978.22,971.88,973.21,1464.06,1427967.89
2018-01-17 03:56:00,969.22,977.13,968.03,977.13,1289.58,1256525.24
2018-01-17 03:57:00,964.72,971.34,963.99,969.76,1154.46,1121649.73
2018-01-17 03:58:00,971.32,971.32,963.83,964.72,859.49,832662.93
2018-01-17 03:59:00,981.69,981.76,970.21,971.38,1896.4,1858647.98
2018-01-17 04:00:00,972.11,981.88,972.11,981.32,1503.51,1469258.72
2018-01-17 04:01:00,978.35,979.07,971.71,972.12,799.78,779683.37
2018-01-17 04:02:00,972.6,978.36,972.26,978.35,509.24,498624.93
2018-01-17 04:03:00,976.77,977.11,972.05,972.59,584.79,572163.89
2018-01-17 04:04:00,978.6,979.37,976.65,976.77,448.01,439852.99
2018-01-17 04:05:00,974.78,981.69,974.38,978.6,866.46,848440.59
2018-01-17 04:06:00,966.29,975.05,965.61,974.78,1206.41,1171528.41
2018-01-17 04:07:00,968.31,970.15,958.97,966.09,1628.5,1577311.05
2018-01-17 04:08:00,960.98,973.04,960.98,968.31,1252.43,1207942.44
2018-01-17 04:09:00,955.34,960.98,954.93,960.98,927.02,882277.47
2018-01-17 04:10:00,946.79,955.54,946.79,955.33,1130.87,1078113.84
2018-01-17 04:11:00,960.81,962.37,945.87,946.79,1665.09,1579226.94
2018-01-17 04:12:00,947.27,961.33,947.27,960.23,1451.19,1379398.63
2018-01-17 04:13:00,955.8,955.82,945.68,947.36,1099.1,1043297.98
2018-01-17 04:14:00,949.86,956.72,949.5,955.8,746.28,710422.07
2018-01-17 04:15:00,956.07,956.68,948.2,949.86,576.81,551694.27
2018-01-17 04:16:00,961.8,962.35,956.07,956.07,659.57,636718.16
2018-01-17 04:17:00,957.79,967.12,957.78,961.82,983.6,949068.69
2018-01-17 04:18:00,963.25,964.43,956.31,957.95,1162.89,1115927.68
