,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
253,1395040.0,88355631.0,elastic,1515383052.0,70820572.0,,Elastic,0.06,-0.82,22.95,5.089e-05,0.80154,254,XEL,100000000.0
254,831286.0,35778844.0,ixledger,1515383054.0,70425287.0,,iXledger,-1.58,-3.02,172.93,0.00012497,1.96835,255,IXT,65778844.0
255,1513660.0,16138955.0,sibcoin,1515383046.0,69550341.0,,SIBCoin,-2.61,-5.3,1.57,0.00027361,4.30947,256,SIB,16138955.0
256,22722400.0,62366926.0,loopring,1515383055.0,68019864.0,,Loopring,-2.78,-10.79,134.16,6.925e-05,1.09064,257,LRC,1395076054.0
257,711574.0,390312753.0,gridcoin,1515383044.0,67595143.0,,GridCoin,-1.55,-6.09,27.91,1.1e-05,0.173182,258,GRC,390312753.0
258,2609060.0,30402849.0,elixir,1515383056.0,66762529.0,,Elixir,-1.82,23.78,133.46,0.00013942,2.19593,259,ELIX,30402849.0
259,205915.0,16680133.0,crown,1515383043.0,66544056.0,,Crown,-4.18,0.57,41.73,0.00025329,3.98942,260,CRW,16680133.0
260,3084800.0,223405389.0,lomocoin,1515383049.0,66487007.0,,LoMoCoin,-2.9,-8.29,101.98,1.89e-05,0.297607,261,LMC,308405389.0
261,11378800.0,1296166.0,numeraire,1515383052.0,66410218.0,21000000.0,Numeraire,-7.86,49.81,55.88,0.00325298,51.2359,262,NMR,2296166.0
262,1493310.0,140000000.0,mothership,1515383054.0,65078300.0,,Mothership,1.23,9.93,61.64,2.951e-05,0.464845,263,MSP,200000000.0
263,4819140.0,7906397.0,expanse,1515383046.0,63606960.0,,Expanse,-2.17,-14.14,50.28,0.00051078,8.045,264,EXP,16906397.0
264,16215800.0,38464714.0,solarcoin,1515383042.0,62387458.0,,SolarCoin,0.15,-4.85,145.61,0.00010298,1.62194,265,SLR,98034338645.0
265,130435.0,53193831.0,faircoin,1515383042.0,61844212.0,,FairCoin,-4.38,-9.26,11.15,7.382e-05,1.16262,266,FAIR,53193831.0
266,8637370.0,1542736250.0,myriad,1515383042.0,61470172.0,,Myriad,-2.53,-22.96,106.57,2.53e-06,0.0398449,267,XMY,1542736250.0
267,2423130.0,560408.0,omni,1515383041.0,61449861.0,,Omni,-1.62,-8.74,11.9,0.00696186,109.652,268,OMNI,616724.0
268,1163010.0,28662055.0,neumark,1515383060.0,60269996.0,1500000000.0,Neumark,-0.13,-16.08,155.74,0.00013351,2.10278,269,NEU,53041455.0
269,964167.0,124518891.0,golos,1515383050.0,59786874.0,,Golos,-1.95,7.48,52.23,3.048e-05,0.480143,270,GOLOS,124518891.0
270,1089870.0,8117304.0,phore,1515383058.0,59138779.0,,Phore,4.07,23.1,59.62,0.00046256,7.28552,271,PHR,11617304.0
271,118414.0,31420232.0,heat-ledger,1515383049.0,59012223.0,,HEAT,-11.76,50.11,104.99,0.00011925,1.87816,272,HEAT,31420232.0
272,1397200.0,72057791.0,flixxo,1515383059.0,58554953.0,,Flixxo,5.13,-1.7,246.75,5.159e-05,0.812611,273,FLIXX,189151329.0
273,1377680.0,121854589.0,monetaryunit,1515383044.0,58532974.0,4000000000.0,MonetaryUnit,1.39,-4.41,32.97,3.05e-05,0.480351,274,MUE,121854589.0
274,3779230.0,2193016.0,bitcore,1515383053.0,57488607.0,,Bitcore,-1.25,-3.49,6.88,0.00166436,26.2144,275,BTX,16737438.0
275,449250.0,375000000.0,hive,1515383056.0,56860125.0,,Hive,1.12,-7.69,73.84,9.63e-06,0.151627,276,HVN,500000000.0
276,5669300.0,547860606.0,musicoin,1515383051.0,56449365.0,,Musicoin,1.1,15.09,103.95,6.54e-06,0.103036,277,MUSIC,547860606.0
277,2835030.0,18582933.0,publica,1515383059.0,56415181.0,,Publica,0.95,46.56,262.4,0.00019275,3.03586,278,PBL,33787150.0
278,2496360.0,248621121.0,whitecoin,1515383042.0,55907680.0,,WhiteCoin,-1.61,-6.51,-0.75,1.428e-05,0.224871,279,XWC,248621121.0
279,8054140.0,25009250.0,oax,1515383054.0,55808891.0,,OAX,-1.48,-13.09,80.47,0.00014168,2.23153,280,OAX,100000000.0
280,462894.0,25000000000.0,eccoin,1515383042.0,55126500.0,25000000000.0,ECC,12.87,56.75,62.67,1.4e-07,0.00220506,281,ECC,25000000000.0
281,98511.7,13521081.0,playkey,1515383059.0,54699265.0,,Playkey,2.48,12.49,349.6,0.00025685,4.04548,282,PKT,19893268.0
282,576002.0,63761400.0,dovu,1515383057.0,54428580.0,,Dovu,-0.89,16.47,208.56,5.42e-05,0.853629,283,DOVU,963761390.0
283,7028330.0,40174166.0,atbcoin,1515383056.0,54308643.0,300000000.0,ATBCoin,-0.02,100.28,203.81,8.583e-05,1.35183,284,ATB,52150966.0
284,26279300.0,13000000.0,aeron,1515383058.0,54114450.0,,Aeron,3.14,-25.23,407.08,0.00026429,4.16265,285,ARN,20000000.0
285,2956160.0,4739748.0,deeponion,1515383055.0,54024601.0,,DeepOnion,-4.35,48.48,62.32,0.00072368,11.3982,286,ONION,19307613.0
286,23235300.0,40000000.0,bodhi,1515383059.0,53722000.0,100000000.0,Bodhi,-1.26,-20.86,21.16,8.527e-05,1.34305,287,BOT,60000000.0
287,3020860.0,11627962891.0,earthcoin,1515383041.0,53413745.0,,EarthCoin,-3.12,20.78,395.39,2.9e-07,0.00459356,288,EAC,11627962891.0
288,843215.0,5143007.0,divi,1515383059.0,52167573.0,,Divi,-0.26,23.77,402.09,0.00064401,10.1434,289,DIVX,6171607.0
289,177716.0,100000000.0,rialto,1515383053.0,51036900.0,,Rialto,-0.52,9.51,28.2,3.24e-05,0.510369,290,XRL,100000000.0
290,119634.0,265205481.0,lykke,1515383050.0,50871450.0,,Lykke,-1.14,-4.37,-14.8,1.218e-05,0.191819,291,LKK,1285690000.0
291,2748490.0,321137782.0,kickico,1515383056.0,50816200.0,,KickCoin,-0.16,-8.29,212.69,1.005e-05,0.158238,292,KICK,457760868.0
292,1170360.0,3645469.0,neoscoin,1515383044.0,50746756.0,,NeosCoin,-2.18,-7.11,-6.42,0.00088382,13.9205,293,NEOS,3645469.0
293,1642890.0,30572823.0,vericoin,1515383042.0,49414242.0,,VeriCoin,-1.03,9.33,65.34,0.00010262,1.61628,294,VRC,30572823.0
294,2521600.0,3425510.0,radium,1515383046.0,49317753.0,,Radium,-0.44,-5.49,11.6,0.00091408,14.3972,295,RADS,3425510.0
295,14461500.0,6003429666.0,linda,1515383055.0,48931254.0,50000000000.0,Linda,1.34,85.6,549.61,5.2e-07,0.00815055,296,LINDA,6003429666.0
296,3858380.0,73609583.0,okcash,1515383044.0,48901717.0,105000000.0,OKCash,-0.52,0.24,20.72,4.218e-05,0.664339,297,OK,73609583.0
